start,relationship,end
https://dmast.eu/vc6#hasEnergyStorage,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#renewableShare,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#labourHours,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#observedBy,range,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#deliveryTime,range,http://www.w3.org/2001/XMLSchema#dateTime
https://dmast.eu/vc6#hasBOMItem,domain,https://dmast.eu/vc6#Product
https://dmast.eu/vc6#transports,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#hasLoss,range,https://dmast.eu/vc6#ProductionLoss
https://dmast.eu/vc6#reworkCount,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#locatedIn,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#hasEnergyTariff,domain,https://dmast.eu/vc6#EnergyObservation
https://dmast.eu/vc6#EquipmentObservation,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#placedAt,range,http://schema.org/Place
https://dmast.eu/vc6#revenue,domain,https://dmast.eu/vc6#CustomerOrder
https://dmast.eu/vc6#LogisticsOperation,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#supportCost,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#hasEnergyStorage,domain,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#transports,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#uptimeHours,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#ExternalLogisticsLayer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#isManufacturedFrom,domain,https://dmast.eu/vc6#Product
https://dmast.eu/vc6#handlesReturn,domain,https://dmast.eu/vc6#CustomerService
https://dmast.eu/vc6#orderedFrom,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#orders,range,https://dmast.eu/vc6#Order
https://dmast.eu/vc6#hasLoss,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#quantity,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#headcount,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#capacity,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#produces,domain,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#observesProduction,domain,https://dmast.eu/vc6#Observation
https://dmast.eu/vc6#endDate,range,http://www.w3.org/2001/XMLSchema#dateTime
https://dmast.eu/vc6#storageCapacityKWh,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#fulfills,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#satisfactionScore,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#energyUse,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#Organization,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#produces,range,https://dmast.eu/vc6#Product
https://dmast.eu/vc6#SuppliersLayer,subClassOf,https://dmast.eu/vc6#Layer
https://dmast.eu/vc6#startDate,range,http://www.w3.org/2001/XMLSchema#dateTime
https://dmast.eu/vc6#InternalLogistics,subClassOf,https://dmast.eu/vc6#LogisticsOperation
https://dmast.eu/vc6#expectedTime,range,http://www.w3.org/2001/XMLSchema#dateTime
https://dmast.eu/vc6#Process,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#CustomerService,subClassOf,https://dmast.eu/vc6#BusinessObject
https://dmast.eu/vc6#hasQA,range,https://dmast.eu/vc6#QualityAssurance
https://dmast.eu/vc6#fulfills,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#status,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#Return,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#produces,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#lossKg,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#energyUse,domain,https://dmast.eu/vc6#EnergyObservation
https://dmast.eu/vc6#hasStockItem,range,https://dmast.eu/vc6#Stock
https://dmast.eu/vc6#tariffEURperKWh,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#InternalLogisticsLayer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#waste,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#ExternalLogistics,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#observedBy,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#transports,domain,https://dmast.eu/vc6#LogisticsOperation
https://dmast.eu/vc6#dimension,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#maintenanceCost,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#usesTransportMode,range,https://dmast.eu/vc6#TransportMode
https://dmast.eu/vc6#hasEnergyTariff,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#belongsToLayer,range,https://dmast.eu/vc6#Layer
https://dmast.eu/vc6#EnergyTariff,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#defectiveRate,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#fulfills,range,https://dmast.eu/vc6#CustomerOrder
https://dmast.eu/vc6#observedBy,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#Stock,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#reworkCount,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#usesTransportMode,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#name,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#orderedBy,range,https://dmast.eu/vc6#Customer
https://dmast.eu/vc6#locationTxt,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#route,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#departureTime,range,http://www.w3.org/2001/XMLSchema#dateTime
https://dmast.eu/vc6#expirationDate,range,http://www.w3.org/2001/XMLSchema#date
https://dmast.eu/vc6#stocksProduct,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#orderedBy,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#returnReason,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#orderedBy,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#orderedFrom,domain,https://dmast.eu/vc6#SupplierOrder
https://dmast.eu/vc6#hasBOMItem,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#weight,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#hasStockItem,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#unitPrice,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#orderedFrom,range,https://dmast.eu/vc6#Supplier
https://dmast.eu/vc6#Customer,subClassOf,https://dmast.eu/vc6#Organization
https://dmast.eu/vc6#energyTariff,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#locationTxt,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#uptimeHours,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#deliveryTime,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#renewableShare,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#ProductionLoss,subClassOf,https://dmast.eu/vc6#BusinessObject
https://dmast.eu/vc6#CustomersLayer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#isManufacturedFrom,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#feeds,range,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#observedBy,domain,https://dmast.eu/vc6#EnergyObservation
https://dmast.eu/vc6#inspectionCost,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#SuppliersLayer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#WarehouseLayer,subClassOf,https://dmast.eu/vc6#Layer
https://dmast.eu/vc6#supportCost,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#isManufacturedFrom,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#stocksProduct,domain,https://dmast.eu/vc6#Stock
https://dmast.eu/vc6#belongsToLayer,domain,https://dmast.eu/vc6#BusinessObject
https://dmast.eu/vc6#InternalLogisticsLayer,subClassOf,https://dmast.eu/vc6#Layer
https://dmast.eu/vc6#Customer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#hasLoss,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#feeds,domain,https://dmast.eu/vc6#Warehouse
https://dmast.eu/vc6#SupplierOrder,subClassOf,https://dmast.eu/vc6#Order
https://dmast.eu/vc6#placedAt,domain,https://dmast.eu/vc6#BusinessObject
https://dmast.eu/vc6#condition,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#relatesToOrder,range,https://dmast.eu/vc6#CustomerOrder
https://dmast.eu/vc6#satisfactionScore,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#TransportMode,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#transports,range,https://dmast.eu/vc6#Product
https://dmast.eu/vc6#Return,subClassOf,https://dmast.eu/vc6#BusinessObject
https://dmast.eu/vc6#QualityAssurance,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#hasLoss,domain,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#capacity,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#relatesToOrder,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#expectedTime,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#Layer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#CustomerService,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#unitPrice,domain,https://dmast.eu/vc6#Stock
https://dmast.eu/vc6#relatesToOrder,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#BusinessObject,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#lossKg,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#deliversTo,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#LabourObservation,subClassOf,https://dmast.eu/vc6#Observation
https://dmast.eu/vc6#,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#Organization,subClassOf,https://dmast.eu/vc6#BusinessObject
https://dmast.eu/vc6#EnergyObservation,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#handlesReturn,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#energyUse,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#CustomerOrder,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#locatedIn,range,https://dmast.eu/vc6#WarehouseLocation
https://dmast.eu/vc6#deliveryTime,domain,https://dmast.eu/vc6#LogisticsOperation
https://dmast.eu/vc6#WarehouseLayer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#ProductionLayer,subClassOf,https://dmast.eu/vc6#Layer
https://dmast.eu/vc6#Production,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#startDate,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#CustomersLayer,subClassOf,https://dmast.eu/vc6#Layer
https://dmast.eu/vc6#renewableSharePct,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#endDate,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#downtimeHours,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#locatedIn,domain,https://dmast.eu/vc6#Warehouse
https://dmast.eu/vc6#feeds,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#ProductionLoss,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#usesTransportMode,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#returnReason,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#orders,domain,https://dmast.eu/vc6#Organization
https://dmast.eu/vc6#isManufacturedFrom,range,https://dmast.eu/vc6#Part
https://dmast.eu/vc6#inspectionCost,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#hasStockItem,domain,https://dmast.eu/vc6#Warehouse
https://dmast.eu/vc6#feeds,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#ProcessStep,subClassOf,https://dmast.eu/vc6#Process
https://dmast.eu/vc6#EnergyObservation,subClassOf,http://www.w3.org/ns/ssn/Observation
https://dmast.eu/vc6#stocksProduct,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#departureTime,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#observesProduction,range,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#revenue,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#labourHours,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#observesProduction,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#InternalLogistics,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#Order,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#hasEnergyStorage,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#weight,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#CustomerOrder,subClassOf,https://dmast.eu/vc6#Order
https://dmast.eu/vc6#hasStockItem,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#EquipmentObservation,subClassOf,https://dmast.eu/vc6#Observation
https://dmast.eu/vc6#quantity,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#ExternalLogistics,subClassOf,https://dmast.eu/vc6#LogisticsOperation
https://dmast.eu/vc6#locatedIn,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#fulfills,domain,https://dmast.eu/vc6#Product
https://dmast.eu/vc6#stocksProduct,range,https://dmast.eu/vc6#Product
https://dmast.eu/vc6#hasBOMItem,range,https://dmast.eu/vc6#Part
https://dmast.eu/vc6#quantity,domain,https://dmast.eu/vc6#Stock
https://dmast.eu/vc6#orders,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#hasEnergyTariff,range,https://dmast.eu/vc6#EnergyTariff
https://dmast.eu/vc6#orderedFrom,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#deliversTo,domain,https://dmast.eu/vc6#ExternalLogistics
https://dmast.eu/vc6#headcount,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#orders,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#handlesReturn,range,https://dmast.eu/vc6#Return
https://dmast.eu/vc6#maintenanceCost,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#SupplierOrder,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#orderedBy,domain,https://dmast.eu/vc6#CustomerOrder
https://dmast.eu/vc6#Part,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#belongsToLayer,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#WarehouseLocation,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#renewableSharePct,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#id,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#name,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#ProductionLayer,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#produces,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#placedAt,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#Warehouse,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#belongsToLayer,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#tariffEURperKWh,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#Ontology,type,http://www.w3.org/2002/07/owl#Ontology
https://dmast.eu/vc6#deliversTo,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#Product,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#condition,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#placedAt,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#deliversTo,range,https://dmast.eu/vc6#Organization
https://dmast.eu/vc6#hasEnergyStorage,range,https://dmast.eu/vc6#EnergyStorage
https://dmast.eu/vc6#Supplier,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#DefectiveProduct,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#route,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#handlesReturn,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#waste,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#lossReason,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#defectiveRate,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#storageCapacityKWh,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#hasEnergyTariff,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#hasQA,domain,https://dmast.eu/vc6#Production
https://dmast.eu/vc6#id,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#Supplier,subClassOf,https://dmast.eu/vc6#Organization
https://dmast.eu/vc6#ExternalLogisticsLayer,subClassOf,https://dmast.eu/vc6#Layer
https://dmast.eu/vc6#expirationDate,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#usesTransportMode,domain,https://dmast.eu/vc6#LogisticsOperation
https://dmast.eu/vc6#dimension,range,http://www.w3.org/2001/XMLSchema#string
https://dmast.eu/vc6#ProcessStep,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#status,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#energyTariff,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#WarehouseLocation,subClassOf,http://schema.org/Place
https://dmast.eu/vc6#revenue,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#downtimeHours,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#lossReason,type,http://www.w3.org/2002/07/owl#DatatypeProperty
https://dmast.eu/vc6#relatesToOrder,domain,https://dmast.eu/vc6#Return
https://dmast.eu/vc6#hasQA,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#LabourObservation,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#EnergyStorage,type,http://www.w3.org/2000/01/rdf-schema#Class
https://dmast.eu/vc6#unitPrice,range,http://www.w3.org/2001/XMLSchema#decimal
https://dmast.eu/vc6#hasQA,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
https://dmast.eu/vc6#observesProduction,type,http://www.w3.org/2002/07/owl#ObjectProperty
https://dmast.eu/vc6#hasBOMItem,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
